name,subheading,desc,quote,servings,time,difficulty,category,tips,id
Pumpkin pie with pecan crumble,With vanilla pastry,This festive pumpkin pie recipe by Jamie Oliver is a delicious Thanksgiving dessert to make for family and friends.,"“Topped with a sticky-sweet, nutty crumble topping, my twist on the American classic is a real treat! I’ve swapped pumpkin for butternut squash here as I love the natural sweetness it gives, plus I find it’s easier to get hold of. Enjoy! ”",12,2 hours 50 minutes plus chilling,Not too tricky,butternut-squash-recipes,,255
Jamie's leftover Christmas pudding and ice cream sundae,"With flaked almonds, dark chocolate & cranberry sauce","For an ice cream sundae recipe with a festive twist, try this after-Christmas treat using your leftover Christmas pudding, cranberry sauce and ice cream!",“This recipe uses up leftover Christmas pud brilliantly. What I’m giving you here is really more of a suggestion because the amount of Christmas pudding you’ll have left over will really depend on how greedy your guests were on Christmas Day. I think it’s almost worth having another pudding stashed away so you can make this as an after-Christmas treat. ”,4,20 minutes,Super easy,fruit-recipes,,256
Rhubarb sorbet with pistachio brittle,,"Sweet yet tart rhubarb sorbet with salty, crunchy brittle – flavours and textures that go mad in your mouth. A fruity pudding for a summer party or barbecue - delicious!","“Sweet yet tart rhubarb sorbet with salty, crunchy brittle – flavours and textures that go mad in your mouth. ”",8,40 minutes plus freezing,Showing off,fruit-recipes,Matcha is Japanese powdered green tea – you can buy it online at japanesekitchen.co.uk.,257
Maple syrup and pecan steamed puddings,"Sticky, gooey, gorgeous and great with custard","Little maple syrup and pecan steamed puddings make a sticky, gooey and gorgeous dessert and taste especially dreamy served with custard.",“These little steamed puddings are a dream to eat and wonderfully simple to make – it's win-win! ”,6,40 minutes,Super easy,uncategorised-recipes,,258
Chocolate & pumpkin loaf,,"One of Jamie's more unusual pumpkin recipes, this Chocolate & Pumpkin loaf takes inspiration from American thanksgiving and is perfect for autumn.",“An utterly satisfying afternoon-tea treat that’s super-moist thanks to the puréed pumpkin. ”,10,1 hour 50 minutes,Not too tricky,chocolate-recipes,,259
Chocolate celebration cake,A blooming good cake,Jamie's chocolate cake recipe is real showstopper; serving up to 16 people and topped with a nougat frosting this is the perfect recipe for a celebration cake.,"“Every household needs a blooming good chocolate cake in their repertoire, whether it’s just for the hell of maintaining your chocolate quota or, of course, for those special occasions where you need a freshly baked cake, or need to arrive somewhere with a showstopper in hand. Regardless, this chocolate celebration cake will reset everyone’s expectations of what a chocolate cake should be – it’s delicious, it has incredible texture, it looks absolutely amazing, and it’s a pleasure to make and watch people enjoying. ”",16,2 hours,Showing off,chocolate-recipes,,260
Sweet tamales ‘n’ chocolate,Mexican pineapple dumplings with oozy sauce,Tamales are basically filled Mexican dumplings; this recipe shows you how to make sweet tamales with chocolate sauce; something different and gorgeous.,"“Mexican tamales can be sweet like these ones or savoury – either way, they're little bundles of joy ”",16 tamales,50 minutes,Not too tricky,chocolate-recipes,,261
Double-choc brownies,,"Jamie's double chocolate brownie recipe is rich, dense and sticky, in other words they're every chocolate lover's idea of heaven, try them for yourself.",,12,50 minutes,Not too tricky,chocolate-recipes,,262
Chocolate & banoffee whoopie pies,With dulce de leche & bananas,A classic whoopie pie recipe that includes the classic combination of chocolate and banoffee is the perfect way to introduce you to the American favourite.,"“Everyone’s mad for whoopie pies in the States, and they’re catching on here too. They’re sort of the perfect little sweet sandwich. I’ve gone for a classic combo here but you can be as inventive as you like.  ”",30,25 minutes,Super easy,chocolate-recipes,"You can buy dulce de leche in the UK from Waitrose, or online from merchant-gourmet.com. If you can’t find it, use canned caramel.",263
Chocolate mousse & compote,,Enjoy this chocolate mousse recipe with a fruity compote to give it that little something extra; create this beautiful chocolate dessert for yourself today!,"“Using a good-quality, ready-made compote is an easy cheat here. ”",8,15 minutes plus chilling,Not too tricky,chocolate-recipes,,264
Bloomin' easy vanilla cheesecake,With crumbly biscuit base & cherry compote,"A beautiful, simple vanilla cheesecake recipe with a sharp cherry compote – the classic American cheesecake recipe just got a whole lot better!","“A beautifully, simple American-style vanilla cheesecake recipe – an old-school favourite from the Fifteen restaurant menu. Absolutely delicious! ”",12,1 hour 25 minutes plus cooling time,Super easy,cheese-recipes,,265
Baumkuchen,,"This Baumkuchen recipe from Jamie Oliver has real wow factor, but, despite taking some time to put together it is not particularly challenging to make.","“This cake may take a little time to make, but it’s not especially difficult, and has a real wow-factor. It’s the number of cake layers that give it its distinctive pattern – in Germany they cook them on a spit, but we’ve gone for the easier option of a grill. The name means tree or log cake in German, because the inside looks like the grain of wood.  ”",16,1 hour 20 minutes plus chilling time,Showing off,chocolate-recipes,"You’ll need a pastry brush to create the layers, and the exact time each layer needs to cook depends on the strength of your grill, but you’re aiming for a deep all-over golden colour.",266
Royal Charlotte lemon drizzle cake,Time to celebrate!,,"“To celebrate the birth of HRH Princess of Cambridge, I created this knockout sponge cake – filled with lemon curd and vanilla icing, you’re guaranteed smiles all round  ”",14,1 hour plus cooling,Not too tricky,fruit-recipes,"You can make the cake mixture into cupcakes if you'd perfer – simply divide it between two 12-hole muffin tins and bake for 20 minutes, or until an inserted skewer comes out clean. Decorate with the drizzle icing and serve.",267
Christmas pudding spoons,Great for a little taster of pud,"For a fun Christmas dessert, treat your guests to Jamie's Christmas Pudding Spoons; this recipe serves 30 making it great Christmas party food.",“These kinda Christmas pudding canapés with custard are great for parties or big buffet lunches ”,30,10 minutes,Super easy,fruit-recipes,,268
Dairy-free coconut cheesecake,With strawberry drizzle,Find a delicious dairy free coconut cheesecake recipe from Jamie Oliver; this dairy free cheesecake is topped with vanilla and a tart raspberry drizzle.,"“With a gorgeous nutty base, sweet coconut & vanilla topping and a strawberry drizzle, this is incredible! ”",12,35 minutes plus soaking and setting,Super easy,fruit-recipes,,269
My Nan's lemon drizzle cake,With the ultimate zingy icing,"Try Jamie's lemon drizzle cake recipe with zingy lemon icing; it tastes amazing with a nice cup of tea, or serve it with ice cream as a delicious dessert! ","“If anything's worth taking a little tea break for, it's a wedge of this classic lemon drizzle cake ”",8,50 minutes plus cooling time,Super easy,fruit-recipes,,270
Gluten-free carrot cake,With zesty cream-cheese icing,This easy carrot cake recipe also happens to be a gluten free carrot cake. Packed with ground ginger and cinnamon and topped with zesty cream cheese icing.,“Deliciously spiced gluten-free carrot cake – perfect with a nice cup of tea ”,12,1 hour plus cooling,Super easy,vegetables-recipes,,271
Pear tart tatin,Lightly spiced with ginger & cinnamon,"Sweet pears, fragrant warming spices and pastry with sticky, gnarly edges – this tart tatin recipe is easy to make, and the results are super-impressive!","“Some dishes need no introduction. Sweet pears, fragrant warming spices and crisp pastry. Heaven. ”",6,1 hour 20 minutes,Not too tricky,fruit-recipes,,272
Yoghurt with blueberry jam and elderflower cordial,Fresh and fruity,Dessert recipes don't get much quicker than Jamie's tasty yoghurt dessert with blueberry jam & elderflower cordial; try experimenting with other jams too!,“An almost instant dessert or posh little palate cleanser for dinner parties – perfect for summer ”,4,5 minutes,Super easy,fruit-recipes,,273
Griddle-pan waffles,A super-tasty breakfast treat,"This griddle pan waffles recipe is *such* an easy waffle recipe! Jamie Oliver's waffle recipe is accompanied by bacon, eggs and maple syrup - delicious.","“There's no need to buy a waffle iron for these bad boys. These are made straight in a griddle pan and they're delicious! I was trying different ways of cooking waffles, and looked at a griddle pan and thought… Aha! You know what, it works like a charm. ”",4,35 minutes,Super easy,eggs-recipes,,274
Blackcurrant ombré cheesecake,Oaty biscuit base & berry jelly topping,This fruity blackcurrant cheesecake recipe makes a brilliant alternative Christmas pudding showstopper – what a treat!,“This cheesecake tastes as good as it looks. The ombré effect makes a great centrepiece – your friends will never guess how easy it is to make! ”,12,45 minutes plus chilling,Not too tricky,fruit-recipes,,275
Dairy-free chocolate truffles,"Desiccated coconut, mixed nuts & cocoa",Our dairy-free chocolate truffles are great for dinner parties as these tasty dairy free chocolate truffles can me made in advance and can be enjoyed by all!,"“Truffles make the perfect edible gift for family and friends – add a pinch of chilli to spice things up, or finely grate in some orange zest for fresh, citrussy zing! ”",45,30 minutes plus setting,Super easy,chocolate-recipes,,276
Sweet fritters with dulce de leche ice cream,,,"“Go on, take a mouthful, and just try not to say mmm… Dulce de leche never sets really hard – it’s smooth, creamy and complements the hot, crunchy fritters. This recipe makes 300ml of dulce de leche and 1 litre of ice cream – you can make these in advance. You won’t use all the dulce de leche so keep the leftovers. ”",8-10,2 hours plus freezing,Showing off,uncategorised-recipes,,277
Chocolate pumpkin brûlée pie,The ultimate pumpkin pie recipe,"This chocolate, pumpkin and brulee pie is incredible; crisp pastry with a  chocolate and pumpkin filling and glazed top; a really special homemade pie.","“The chocolate in this triple-layer pie serves as a tasty barrier between the filling and crust, helping to keep the pastry crisp ”",10,1 hour 45 minutes,Not too tricky,chocolate-recipes,,278
Pear sorbet (Sorbetto di pere),With a good splash of grappa,Pear Sorbet is a great way to finish a meal or cleanse your palate in between courses; give Jamie's recipe for pear and grappa sorbet a bash!,"“Light and refreshing, this pear sorbet makes a great dessert or posh-looking palate cleanser ”",6,25 minutes plus freezing time,Super easy,fruit-recipes,,279
Baked chocolate tart,,This is a beautiful and easy chocolate tart recipe from Jamie Oliver. It's a real showstopper. The recipe also explains how to make pastry from scratch.,"“I think this tart is best served with some seasonal soft fruit, such as blueberries, raspberries or strawberries.  ”",12 - 14,1 hour plus cooling,Not too tricky,chocolate-recipes,,280
The quickest berry tart,with smashed up meringue & vanilla cream,A really gorgeous and easy dessert recipe from Jamie Oliver that shows you how to make pastry from scratch. Perfect for a dinner party! Wow your friends.,"“Although this recipe is a bit off the wall, the flavours and textures work so well together. Swedes absolutely love berries, and this is basically a berry tart that’s crashed into an Eton mess to create an insanely easy and delicious dessert. I can’t tell you how quick it is to knock together. If you’re making this for a dinner party and want to work ahead a bit, just bake the pastry a few hours before, whip the cream mixture together and keep it covered in the fridge. Then, when you’re ready to serve it, add the fruit and meringues. That way, the meringues will still be crunchy and create an exciting contrast with the soft cream and berries. ”",12,45 minutes plus resting & chilling,Not too tricky,fruit-recipes,,281
Lemon sorbet,Easy vegan & gluten-free pud,"Need an easy vegan pud? With just two ingredients, this gluten-free lemon sorbet could not be simpler to make. Perfect after a big meal and just so refreshing on a hot summer's day. Enjoy!","“Try to find Sicilian or Amalfi lemons for this – they may be more expensive than regular lemons, but their sharp flavour is perfect for this palate-cleanser. You can also add a shot of vodka or grappa – for adults only! ”",8 to 10,10 minutes plus freezing,Super easy,fruit-recipes,,282
Pear & ginger pudding,,Make your own easy mug cakes in just 15 minutes with this gorgeous pear and ginger pudding recipe – just pop them in the microwave for 4 minutes. Perfect for a quick but elegant fruity pud.,"“This makes two desserts, one for now and one to reheat tomorrow! ”",2,15 minutes,Not too tricky,fruit-recipes,,283
